Customer,FR_Intake,TP_Intake,DFL_Intake,Register_update_intake,Total_intake,FR_Output,TP_Output,DFL_Output,Register_update_output,Total_output,FR_requests_for_information,TP_requests_for_information,DFL_requests_for_information,Register_update_requests_for_information,Total_requests_for_information
"The Smith Partnership","13","5","35","227","280","1","2","5","182","190","1","1","3","35","40"
"The Spicketts Battrick Law Practice","18","27","45","662","752","3","8","14","403","428","0","4","11","91","106"
"The Wilkes Partnership","8","5","12","307","332","3","3","8","168","182","2","2","4","17","25"
"Thirsk Winton LLP","4","25","7","163","199","1","7","1","84","93","1","3","1","19","24"
"Thomas & Thomas Solicitors LTD","12","3","16","211","242","0","0","5","152","157","0","0","3","48","51"
"Thomas Flavell & Sons","10","13","25","253","301","1","4","8","165","178","1","3","4","44","52"
"Thomson Snell & Passmore","2","41","17","254","314","0","9","5","164","178","0","1","4","34","39"
"Thrings LLP","13","38","21","210","282","2","6","3","154","165","2","4","2","30","38"
"Thursfields Solicitors","13","20","30","174","237","3","2","11","141","157","0","2","8","28","38"
"Tickle Hall Cross","9","10","19","157","195","1","1","3","140","145","0","1","3","38","42"
"Tilly Bailey & Irvine","24","5","40","375","444","2","2","6","308","318","1","2","3","61","67"
"Tinklin Springall","2","52","9","156","219","0","5","0","107","112","0","4","0","33","37"
"Tinsdills Solicitors","22","4","15","180","221","0","0","7","132","139","0","0","4","32","36"
"TLT LLP","9","197","26","5980","6212","1","22","12","6294","6329","0","19","10","89","118"
"Together Commercial Finance LTD","0","0","0","923","923","0","0","0","726","726","0","0","0","14","14"
"Together Personal Finance LTD","0","0","0","544","544","0","0","0","521","521","0","0","0","28","28"
"Tolhurst & Fisher","6","33","19","312","370","0","10","5","183","198","0","4","1","39","44"
"Tollers LLP","14","16","17","237","284","2","4","4","163","173","2","3","2","30","37"
"Topaz Finance Limited","0","0","0","726","726","0","0","0","688","688","0","0","0","0","0"
"Tozers LLP","7","26","23","226","282","1","7","10","154","172","1","5","6","26","38"
"TQ Property Lawyers LTD","10","113","13","329","465","3","5","1","142","151","2","3","1","54","60"
"Transport For London","15","209","0","8","232","2","0","0","7","9","0","0","0","0","0"
"Trethowans","11","52","25","423","511","6","7","10","284","307","4","3","7","57","71"
"Trowers & Hamlins","9","41","53","6692","6795","0","10","37","2328","2375","0","8","28","59","95"
"TSB Bank PLC Sheldon Sec Centre","0","0","0","4450","4450","0","0","0","3882","3882","0","0","0","0","0"
"TWM Solicitors LLP","6","81","23","775","885","1","46","16","461","524","0","29","10","90","129"
"Underwood & Co","1","7","1","253","262","1","3","1","85","90","0","2","1","16","19"
"Veale Wasbrough Vizards","5","44","22","302","373","1","9","1","228","239","1","7","1","47","56"
"Vincents Solicitors","9","10","11","181","211","0","0","4","107","111","0","0","1","29","30"
"W S Strategic Limited","5","4","5","241","255","0","0","2","112","114","0","0","0","31","31"
"Waldrons","5","6","24","202","237","1","2","4","147","154","1","1","2","33","37"
"Walker Foster","10","3","27","222","262","3","2","2","113","120","3","2","1","22","28"
"Walker Morris LLP","4","33","13","578","628","2","3","4","371","380","1","1","3","62","67"
"Ward Gethin Archer","31","20","73","359","483","3","6","12","277","298","1","4","6","80","91"
"Ward Hadaway","4","13","86","334","437","2","4","14","204","224","2","2","7","41","52"
"Wards","16","22","79","423","540","4","4","23","274","305","3","4","18","57","82"
"Warner Goodman LLP","11","26","7","325","369","3","2","3","231","239","2","2","3","49","56"
"Watson Farley & Williams LLP","0","132","1","71","204","0","2","0","46","48","0","1","0","1","2"
"Watson Ramsbottom","12","92","538","486","1128","3","14","43","185","245","2","11","34","43","90"
"WBW LLP Trading As WBW Solicitors","17","9","39","285","350","2","5","12","208","227","1","3","4","51","59"
"Wedlake Bell","2","10","7","194","213","0","5","5","151","161","0","3","4","29","36"
"Weightmans LLP","5","42","14","328","389","3","18","3","246","270","3","13","2","43","61"
"West Bromwich Building Society","1","0","0","1185","1186","0","0","1","1005","1006","0","0","1","2","3"
"West Coast Conveyancing","2","5","13","223","243","0","5","2","176","183","0","4","2","32","38"
"Whitehead Monckton","4","14","12","209","239","0","5","8","118","131","0","4","5","23","32"
"WHN Solicitors Limited","12","8","13","162","195","3","0","3","117","123","3","0","2","27","32"
"Wilkin Chapman LLP","39","18","54","647","758","9","4","13","491","517","2","4","10","59","75"
"Wilkinson Woodward Norcliffe & Co","17","12","28","306","363","1","1","9","232","243","0","1","5","52","58"
"Willans LLP","6","22","12","168","208","0","3","3","103","109","0","3","3","23","29"
"Wilson Browne","16","8","30","207","261","1","7","11","160","179","0","5","7","47","59"
"Wilsons Solicitors (leeds)","4","0","3","184","191","3","0","1","151","155","1","0","0","36","37"
"Winckworth Sherwood","3","79","107","648","837","2","63","9","1538","1612","1","44","7","77","129"
"Wolferstans","4","10","19","193","226","0","3","9","141","153","0","3","6","33","42"
"Wollen Michelmore","13","14","42","207","276","1","4","7","155","167","0","2","4","38","44"
"Womble Bond Dickinson","12","59","58","994","1123","2","23","15","648","688","0","13","10","68","91"
"Woodford Stauffer","5","15","22","196","238","2","4","7","119","132","1","3","7","18","29"
"Wright Hassall LLP","4","43","52","459","558","4","8","5","198","215","3","5","5","28","41"
"Wrigleys","5","8","3","236","252","1","2","2","196","201","0","2","2","14","18"
"WSL Limited","0","0","0","198","198","0","0","0","219","219","0","0","0","0","0"
"Yorkshire Bank Home Loans","0","0","0","2419","2419","0","0","0","2069","2069","0","0","0","3","3"
"Yorkshire Building Society","0","0","0","2651","2651","0","0","0","2596","2596","0","0","0","1","1"
"Your Conveyancer Limited","0","0","0","2643","2643","0","0","0","1639","1639","0","0","0","132","132"
"YVA Solicitors LLP","0","38","7","542","587","0","9","2","484","495","0","5","1","55","61"
